target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,l0_reference_status,condition_mean_mae_improvement_vs_l0
capacity_Ah_k1,c_rate_holdout_fold,L1_ridge,F3_state_nominal,0.1755605083624059,0.3186053676316352,36,0.3186053676316352,0.33485399645173297,current_report,0.15929348808932708
capacity_Ah_k1,condition_fold,L1_ridge,F4_state_log_age_scalar,0.08181939760885057,0.3218229398886245,23,0.3218229398886245,0.13801071921543,current_report,0.05619132160657944
capacity_Ah_k1,profile_holdout_fold,L1_ridge,F2_state_exposure,0.07873541347902137,0.21367541857202824,67,0.21367541857202824,0.09615964607551501,current_report,0.017424232596493644
capacity_Ah_k1,temperature_holdout_fold,L1_ridge,F3_state_nominal,0.09140239920049888,0.34293869858235054,23,0.34293869858235054,0.15025633253369464,current_report,0.05885393333319576
capacity_Ah_k1,voltage_window_holdout_fold,L1_ridge,F3_state_nominal,0.08703527052670551,0.3529486851582715,23,0.3529486851582715,0.1187266501812217,current_report,0.03169137965451618
delta_capacity_Ah,c_rate_holdout_fold,L1_ridge,F3_state_nominal,0.17540615023079845,0.31605114558860226,36,0.31605114558860226,0.33485399645173297,current_report,0.15944784622093452
delta_capacity_Ah,condition_fold,L1_ridge,F4_state_log_age_scalar,0.08120315510896062,0.3209487083622498,23,0.3209487083622498,0.13801071921543,current_report,0.056807564106469394
delta_capacity_Ah,profile_holdout_fold,L2_hist_gradient_boosting,F1_state_time,0.06993946017756594,0.23179593867686202,67,0.23179593867686202,0.09615964607551501,current_report,0.02622018589794907
delta_capacity_Ah,temperature_holdout_fold,L1_ridge,F3_state_nominal,0.08963935948895571,0.3402938410007543,23,0.3402938410007543,0.15025633253369464,current_report,0.060616973044738925
delta_capacity_Ah,voltage_window_holdout_fold,L1_ridge,F3_state_nominal,0.08655442908297693,0.34895331643321925,23,0.34895331643321925,0.1187266501812217,current_report,0.03217222109824476
