grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.13438046556936598,,,0.191864067151544
temperature,10,6,3,54,0.1443188923883896,,,0.2539914861259202
temperature,25,6,3,88,0.07086390437653584,,,0.12506627543460072
temperature,40,6,3,134,0.08583525139585924,,,0.14939961177050548
voltage_window_family,approx_0_100,8,4,62,0.13749104466161882,,,0.23033231031833876
voltage_window_family,approx_10_100,8,4,72,0.13152137086018023,,,0.2539914861259202
voltage_window_family,approx_10_90,8,4,180,0.057536469775813934,,,0.07652175357923596
target,capacity_Ah_k1,12,12,157,0.12244211150469492,,,0.2539914861259202
target,delta_capacity_Ah,12,12,157,0.0952571453603804,,,0.18147267621052987
parameter_set,20,2,1,12,0.18666837168103695,,,0.191864067151544
parameter_set,24,2,1,8,0.15125806846253337,,,0.1673318437915723
parameter_set,28,2,1,18,0.06521495656452762,,,0.07652175357923596
parameter_set,32,2,1,12,0.17723883681914804,,,0.23033231031833876
parameter_set,36,2,1,12,0.19261243919164361,,,0.2539914861259202
parameter_set,40,2,1,30,0.06310540115437718,,,0.07596127892621994
parameter_set,44,2,1,12,0.10686687312878163,,,0.12506627543460072
parameter_set,48,2,1,20,0.048560474791250745,,,0.05525207508297912
parameter_set,52,2,1,56,0.05716436520957513,,,0.05813410336300349
parameter_set,56,2,1,26,0.07919009701750868,,,0.09077981843904971
parameter_set,60,2,1,32,0.13365450099529325,,,0.14939961177050548
parameter_set,64,2,1,76,0.0446611561747758,,,0.05361716584218321
interval_count_bucket,11-20,6,3,88,0.09198333305572637,,,0.14939961177050548
interval_count_bucket,6-10,12,6,86,0.12952699202939807,,,0.2539914861259202
interval_count_bucket,<=5,2,1,8,0.15125806846253337,,,0.1673318437915723
interval_count_bucket,>20,4,2,132,0.050912760692175464,,,0.05813410336300349
capacity_Ah_k_range,2.4-2.6,2,1,18,0.06521495656452762,,,0.07652175357923596
capacity_Ah_k_range,2.6-2.8,10,5,78,0.12858316975429557,,,0.23033231031833876
capacity_Ah_k_range,<2.4,8,4,194,0.07464635588350534,,,0.14939961177050548
capacity_Ah_k_range,>=2.8,4,2,24,0.14973965616021262,,,0.2539914861259202
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.0557412707789013,,,0.07652175357923596
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.1467841696137065,,,0.2539914861259202
